period,location,state,sector,fuel,generation,totalConsumptionBtu
2024,90,Pacific,Electric Power Sector Non-CHP,wind,34795.56512,118.72341
2024,90,Pacific,Electric Power Sector Non-CHP,onshore wind turbine,34795.56512,118.72341
2024,90,Pacific,Electric Power Sector Non-CHP,waste coal,81.58622,1.10829
2024,90,Pacific,Electric Power Sector Non-CHP,waste oil and other oils,515.42585,4.35448
2024,90,Pacific,Electric Power Sector Non-CHP,wood and wood wastes,1560.55693,26.8191
2024,90,Pacific,Independent Power Producers,all fuels,162120.39617,925.74038
2024,90,Pacific,Independent Power Producers,all renewables,92736.75502,375.45862
2024,90,Pacific,Independent Power Producers,biomass,3729.54296,57.67698
2024,90,Pacific,Independent Power Producers,bituminous coal and synthetic coal,0,0
2024,90,Pacific,Independent Power Producers,bituminous coal,0,0
2024,90,Pacific,Independent Power Producers,coal, excluding waste coal,2945.9016,35.52581
2024,90,Pacific,Independent Power Producers,all coal products,2945.9016,35.52581
2024,90,Pacific,Independent Power Producers,distillate fuel oil,8.45335,0.14133
2024,90,Pacific,Independent Power Producers,fossil fuels,68674.0624,541.2919
2024,90,Pacific,Independent Power Producers,geothermal,10310.791,35.18041
2024,90,Pacific,Independent Power Producers,conventional hydroelectric,1974.15903,6.7364
2024,90,Pacific,Independent Power Producers,landfill gas,1284.20991,14.83079
2024,90,Pacific,Independent Power Producers,municiapl landfill gas,1372.00133,16.67454
2024,90,Pacific,Independent Power Producers,biogenic municipal solid waste,87.79142,1.84374
2024,90,Pacific,Independent Power Producers,natural gas,64303.14034,492.63513
2024,90,Pacific,Independent Power Producers,natural gas & other gases,64303.14034,492.63513
2024,90,Pacific,Independent Power Producers,biomass,386.97249,5.39387
2024,90,Pacific,Independent Power Producers,biomass,474.76391,7.23761
2024,90,Pacific,Independent Power Producers,other renewables,386.97249,5.39387
2024,90,Pacific,Independent Power Producers,other,-1264.58028,2.25347
2024,90,Pacific,Independent Power Producers,petroleum coke,0,0
2024,90,Pacific,Independent Power Producers,petroleum liquids,1425.02046,13.13097
2024,90,Pacific,Independent Power Producers,petroleum,1425.02046,13.13097
2024,90,Pacific,Independent Power Producers,refined coal,0,0
2024,90,Pacific,Independent Power Producers,renewable,94710.91405,382.19502
2024,90,Pacific,Independent Power Producers,residual fuel oil,1389.51805,12.69712
2024,90,Pacific,Independent Power Producers,solar photovoltaic,48652.97494,166.00395
2024,90,Pacific,Independent Power Producers,solar thermal,2045.315,21.06675
2024,90,Pacific,Independent Power Producers,subbituminous coal,2945.9016,35.52581
2024,90,Pacific,Independent Power Producers,solar,50698.28994,187.07069
2024,90,Pacific,Independent Power Producers,renewable waste products,1758.97382,22.06841
2024,90,Pacific,Independent Power Producers,wind,27998.13112,95.53054
2024,90,Pacific,Independent Power Producers,onshore wind turbine,27998.13112,95.53054
2024,90,Pacific,Independent Power Producers,waste coal,0,0
2024,90,Pacific,Independent Power Producers,waste oil and other oils,27.04906,0.29252
